gps_seconds[s]	panorama_file_name	latitude[deg]	longitude[deg]	altitude_ellipsoidal[m]	roll[deg]	pitch[deg]	heading[deg]
1142601205.73007	pano_0000_000235	52.3523794190676	4.94628223544501	38.2942418558523	1.4653172263603	0.795044947492009	136.6538826981
1142601207.08513	pano_0000_000236	52.3524110897136	4.94623104333764	38.3419172465801	2.65438862010032	-0.602050402471583	136.3568273943
1142601208.46505	pano_0000_000237	52.3524429003971	4.94618006857163	38.3733094716445	2.41015737241195	1.00323899225735	136.429555974777
1142601209.88003	pano_0000_000238	52.3524747276338	4.94612960551423	38.3151419209316	2.19295483675416	1.37642294627273	136.908405155613
1142601211.27501	pano_0000_000239	52.3525069879652	4.94607922446052	38.2651395890862	2.4291375909878	1.34560244220595	137.189415748827
1142601212.63001	pano_0000_000240	52.3525394299833	4.94602916378066	38.2605211390182	1.6984325951313	0.518227358138374	137.191642268589
1142601214.07997	pano_0000_000241	52.3525716809749	4.94597889613167	38.3121186597273	1.44319655436062	-2.08213558772443	136.783003179897
1142601215.63998	pano_0000_000242	52.3526041224205	4.94592760472634	38.4031213214621	1.45291076278549	0.548838593626974	136.862514420899
1142601217.10995	pano_0000_000243	52.3526370772268	4.94587566600123	38.3343655364588	1.53347829435803	1.49769109920913	136.540514969079
1142601218.49494	pano_0000_000244	52.352669678554	4.94582314432127	38.293837283738	1.39415505942864	0.178789869821417	135.797089802298
1142601219.8949	pano_0000_000245	52.3527025425407	4.94577081662094	38.3290389850736	0.806863227128772	0.636060505467776	136.522783049023
1142601221.52492	pano_0000_000246	52.352736207981	4.94571989257497	38.4346494199708	0.603209304949132	-0.512664436592131	138.088688364173
1142601223.62489	pano_0000_000247	52.3527705152801	4.94566920601729	38.4809515289962	0.419336739393092	2.4117735309846	137.452522861264
1142601225.72486	pano_0000_000248	52.3527972371975	4.94560798485922	38.4349863184616	1.01194449754937	1.00580928975168	119.026562128934
1142601227.05979	pano_0000_000249	52.3528039233086	4.94553768393924	38.3964759856462	-0.156293365848171	0.395172162339465	88.6689552756215
1142601228.31483	pano_0000_000250	52.3527839399164	4.94547372470641	38.449527695775	-0.718730035153539	0.0304618865726264	56.3083079945587
1142601229.49973	pano_0000_000251	52.3527537519498	4.9454193150647	38.5578504912555	0.352461708735915	-1.11597353926836	46.6082018007417
1142601230.58973	pano_0000_000252	52.3527210705344	4.94536731495493	38.5823308015242	0.830024392907944	1.32700174122363	45.6277476623306
1142601231.6348	pano_0000_000253	52.3526883395962	4.94531570544212	38.4644906725734	3.80677724862483	1.28837401477336	46.5058020679091
1142601232.70478	pano_0000_000254	52.3526569923993	4.94526262343561	38.4205076359212	3.84696594022721	0.211045975882102	47.6561002628606
1142601233.82969	pano_0000_000255	52.3526266326708	4.94520854731638	38.4538659611717	2.0095380471274	0.153064291562436	47.9970160259894
1142601235.00987	pano_0000_000256	52.3525962032945	4.94515537506358	38.4544136058539	0.553156137605362	0.542671020615246	47.216006784984
1142601236.26475	pano_0000_000257	52.3525652992578	4.94510363263599	38.4905786458403	-0.0739719659247295	0.1349844615764	46.4526204737368
1142601237.62473	pano_0000_000258	52.3525337890605	4.94505404118474	38.5671398658305	-0.160068774206642	-2.08303416269213	44.4467731396282
1142601239.11958	pano_0000_000259	52.3524986782392	4.94501276404974	38.6774252336472	0.603618815337082	-0.301228755377993	33.1898912216853
1142601240.51464	pano_0000_000260	52.352460019611	4.94498664871916	38.7438676515594	-0.289702907255903	0.258520461956183	15.4553218083781
1142601241.78957	pano_0000_000261	52.3524190225176	4.9449981625225	38.725170112215	-1.15775110166053	1.12434551997022	341.333284611229
1142601243.01479	pano_0000_000262	52.352386729484	4.94504680586066	38.5790527714416	-1.63466435056196	0.290129458346708	310.452912512443
1142601244.11462	pano_0000_000263	52.352360365559	4.94510779220351	38.6082447525114	0.918577771425394	0.119488745707826	307.331015330258
1142601245.06459	pano_0000_000264	52.3523312903565	4.94516566812832	38.59844098147	1.95014138205666	0.297881445018872	311.551435519378
